dataset,regime,problem_id,route_pairs,h1_effect,h2_effect,h3_success_difference,h3_margin_gap
gsm8k,medium,080675833c6d9ea281fa95c98ad19b53520b9f325e7fb22166adc5a022fe30d3,36,0.0,-0.35416666666666663,0.0,-0.25
gsm8k,medium,100d7f43fdf5ead90d91c008ff476d016d2159d3877d4a98e664df4bb92ca70f,36,,-0.04166666666666665,1.0,1.0
gsm8k,medium,127f18ac7549aa1eafe5e013d62920ab85613553af4804968f9540b125a41a24,36,,0.11111111111111112,0.0,-0.125
gsm8k,medium,061501956468e82c77012647889111bf1af73b2f143f180a6e35fa567c1df02d,36,0.03333333333333334,,0.0,-0.125
gsm8k,medium,135430c89fe3361e0ba10a378cac8e8330a7ee51a2bee358d3c90d6c771fb20c,36,0.027777777777777794,,0.0,0.0
gsm8k,medium,0daf43cfc24208b108709a8f708bbc875ea8cc549e4a73773f4eb8d2fb8fdb0c,36,-0.06666666666666667,-0.25,0.0,0.0625
gsm8k,medium,05a3459f56466e97c0912a2b3c3bee5af75144a87235b5925b05efd4e743e773,36,-0.4444444444444444,0.0,0.0,-0.25
gsm8k,medium,0c68e6790fdc82122a6bd073e5445c7d18884f0d52e244b36e2e414d4bafc243,36,,0.0,0.0,0.125
gsm8k,medium,0a2730fdc05ef2edb6c988513ccfaa1db0792771f0fc93fb25e365f11a44f2d6,36,,0.1527777777777778,0.0,0.0
gsm8k,medium,0e6917da254f9628339fe01af46d6cea6480a39db7e1ce845da507992460372a,36,-0.08333333333333333,0.0,0.0,-0.75
gsm8k,medium,10b3cef0bc5a0a9461c025f0d700cc85329760cd826369ec293c66567d8a5579,36,,-0.011111111111111089,1.0,1.75
gsm8k,medium,0396c6f77522d494823274f87aea318b699ece84d2e7b08a473069673b026415,36,0.19444444444444445,0.11111111111111115,1.0,0.875
gsm8k,medium,101b0e9aa8d1f2a4736b4f8440d2f26ca391e6eb5f42fa86bda7a9bb9fd0b9e4,36,0.0,-0.04999999999999999,0.0,0.25
gsm8k,medium,0fc31d873d033932f2769af281e2c59dc7780055d2597030f02f7f93c66171bf,36,,0.11111111111111112,0.0,0.25
gsm8k,medium,141e8e1139f640b542ca30d771adcd1363b34bf4e0ea0d69f70778b851e3cd22,36,0.06481481481481484,,1.0,1.0625
gsm8k,medium,053f45e769c518be9409a1a469b78d4cbdcc2f2b69ee57e9696a3f7aac26f865,36,0.0,0.16666666666666669,0.0,-0.25
gsm8k,medium,07836807c799f44f985d68c5ac193129be1a909f70dd66f3ca725237c70d21d0,36,,0.0,0.0,0.375
