model_id,prompt_mode,domain,pairs,pair_accuracy,self_accuracy,opponent_accuracy,flip_rate,same_action_rate
qwen35_9b,local_operator,abstract_game,30,0.9,1.0,0.9,0.9,0.1
qwen35_9b,local_operator,cyber_defense,30,0.7,1.0,0.7,0.7,0.3
qwen35_9b,local_operator,exploration,30,0.7333333333333333,0.9666666666666667,0.7666666666666667,0.7333333333333333,0.26666666666666666
qwen35_9b,local_operator,logistics,30,0.9,1.0,0.9,0.9,0.1
qwen35_9b,local_operator,resource_game,30,0.8,1.0,0.8,0.8,0.2
qwen35_9b,local_operator,tool_agent,30,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.06666666666666667
qwen35_9b,positive_operator,abstract_game,30,0.9,1.0,0.9,0.9,0.1
qwen35_9b,positive_operator,cyber_defense,30,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
qwen35_9b,positive_operator,exploration,30,0.8,0.9666666666666667,0.8333333333333334,0.8,0.2
qwen35_9b,positive_operator,logistics,30,0.9,0.9666666666666667,0.9333333333333333,0.9,0.1
qwen35_9b,positive_operator,resource_game,30,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.13333333333333333
qwen35_9b,positive_operator,tool_agent,30,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.03333333333333333
qwen3_8b,bellman,abstract_game,30,0.7,0.8666666666666667,0.8333333333333334,0.7,0.3
qwen3_8b,bellman,cyber_defense,30,0.7,1.0,0.7,0.7,0.3
qwen3_8b,bellman,exploration,30,0.7333333333333333,0.9666666666666667,0.7666666666666667,0.7333333333333333,0.26666666666666666
qwen3_8b,bellman,logistics,30,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666
qwen3_8b,bellman,resource_game,30,0.7333333333333333,0.9666666666666667,0.7666666666666667,0.7333333333333333,0.26666666666666666
qwen3_8b,bellman,tool_agent,30,0.9,1.0,0.9,0.9,0.1
qwen3_8b,cot,abstract_game,30,0.7666666666666667,1.0,0.7666666666666667,0.7666666666666667,0.23333333333333334
qwen3_8b,cot,cyber_defense,30,0.43333333333333335,0.8,0.6,0.43333333333333335,0.4666666666666667
qwen3_8b,cot,exploration,30,0.5333333333333333,0.8333333333333334,0.6,0.6,0.26666666666666666
qwen3_8b,cot,logistics,30,0.6666666666666666,0.9666666666666667,0.7,0.6666666666666666,0.3333333333333333
qwen3_8b,cot,resource_game,30,0.5666666666666667,0.9666666666666667,0.6,0.5666666666666667,0.4
qwen3_8b,cot,tool_agent,30,0.8666666666666667,0.9333333333333333,0.9,0.8666666666666667,0.06666666666666667
qwen3_8b,direct,abstract_game,30,0.5666666666666667,0.9333333333333333,0.6333333333333333,0.5666666666666667,0.43333333333333335
qwen3_8b,direct,cyber_defense,30,0.2,0.9666666666666667,0.23333333333333334,0.2,0.8
qwen3_8b,direct,exploration,30,0.23333333333333334,1.0,0.23333333333333334,0.23333333333333334,0.7666666666666667
qwen3_8b,direct,logistics,30,0.36666666666666664,1.0,0.36666666666666664,0.36666666666666664,0.6333333333333333
qwen3_8b,direct,resource_game,30,0.4666666666666667,1.0,0.4666666666666667,0.4666666666666667,0.5333333333333333
qwen3_8b,direct,tool_agent,30,0.4666666666666667,1.0,0.4666666666666667,0.4666666666666667,0.5333333333333333
qwen3_8b,local_operator,abstract_game,30,0.7666666666666667,1.0,0.7666666666666667,0.7666666666666667,0.23333333333333334
qwen3_8b,local_operator,cyber_defense,30,0.5666666666666667,0.8666666666666667,0.7,0.5666666666666667,0.43333333333333335
